Backbone,Source,Before Macro-F1,After Macro-F1,Δ Macro-F1,Before Accuracy,After Accuracy,Δ Accuracy
BERT,source0,0.27088490099009904,0.7583705105752565,0.48748560958515746,0.6632443531827515,0.8952772073921971,0.23203285420944553
Qwen1.7,source0,0.39439575181022085,0.865997043205443,0.47160129139522217,0.5318275154004107,0.9425051334702259,0.4106776180698152
Qwen4,source0,0.46712222735135994,0.865813439733099,0.39869121238173905,0.6262833675564682,0.9404517453798767,0.31416837782340856
Qwen0.6,source0,0.5093227372545782,0.8551740793878526,0.3458513421332744,0.6714579055441479,0.9404517453798767,0.2689938398357289
BERT,source1,0.24074074074074073,0.7120381447759857,0.471297404035245,0.5640495867768595,0.8987603305785123,0.3347107438016529
Qwen1.7,source1,0.4402413486901877,0.8438711134977694,0.4036297648075817,0.5929752066115702,0.9504132231404959,0.3574380165289257
Qwen0.6,source1,0.5126953409897601,0.8322222847773489,0.31952694378758884,0.6838842975206612,0.9462809917355371,0.262396694214876
Qwen4,source1,0.5612408395326085,0.864233634858338,0.30299279532572954,0.7355371900826446,0.9566115702479339,0.22107438016528924
